"Timestamp","Yaşınız","İl","Kaç Yıldır Araba Kullanıyorsunuz","Ne Zamandır T10X kullanıyorsunuz?","T10X İlk Arabanız Mı?","Yıl","Ay","Renk","Yazılım","Model","Kaç KM yol yaptınız?  ","T10X'in yanısıra içten yanmalı aracım da var. nolur nolmaz.","İlk Sahibiyim","T10X ile Uzun Yol Yaptınız Mı?","Yine elektrikli araç alırım","Yine TOGG alırım","T10F Bekliyorum","Çoğunlukla Aksesuarda şarj ederim","Çoğunlukla ... kadar şarj ederim","Çoğunlukla AC/DC şarj ediyorum.","Çoğunlukla Evden Şarj Ederim","T10X'den memnunum","Neden T10X Aldınız","T10X'i tasarımını beğeniyorum.","T10X'i konforlu buluyorum.","T10X'in içinde güvende hissediyorum.","T10X'in kullanımını kolay buluyorum.","T10X'in şarj tüketiminden memnunum.","T10X'in menzilinden memnunum.","Servis ağını yeterli buluyorum.","Gez uygulamasından memnunum.","Uygulama çeşitliliğini yeterli buluyorum.","Bir yakınıma tavsiye ederim.","Arıza Sebebiyle Yolda Kaldınız mı? ","Bir hata, arızadan dolayı kaç kere servise gitmeniz gerekti?","Arabam Serviste Toplam ... Kadar Kaldı","Servise bir kere gittikten sonra aynı sorun tekrar etti mi?","Bir Arızadan Dolayı Telefon ile destek almanız gerekti mi?","Ne sıklıkla DTC Reset, Yeniden Başlat yapmanız gerekiyor?","Hiç Sinyal Hatası aldınız mı?","Rahatsız Eden Trim Sesleri Var Mı?","Vites Geçişinde Sorun Yaşıyorum","Direksiyonu Çevirince Aracım Gacur Gucur Ediyor.","ESA aldım.","Ses Düzeyi, Cızırtı Sorunu Yaşadım","Ekran Gelmeme Sorunu Yaşadım","Durduk Yere Çalan Alarm Sorunu Yaşadım","Araba uyumadığı için şarjımın azaldığı oldu.","Yüksek Hızda Şarj Olmama Sorunu Yaşadım.","Daha Önce Bataryanız Değişti Mi?","Belirtmek istediğiniz başka sorunlar yaşadıysanız, buyrun","Varsa eklemek istediğiniz yazabilirsiniz."
"2025/07/23 9:45:22 pm GMT+3","36-45","31 - Hatay","10 Yıl+","12-24 Ay","Hayır","2024","nisan","Kula","1.5 26","V2 Long Range","10,000 - 20,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","evet","Evet","80'e kadar","AC","Evet","çok sorun çıkardı, keşke almasaydım","Yerli olduğu için","7","8","9","7","5","3","2","1","1","2","hayır","3-5","0","evet","hayır","ayda bir falan","nadiren, 1-2 kez","1'den çok yerden geliyor","nadiren, 1-2 kez","evet","zaman zaman","zaman zaman","zaman zaman","nadiren, 1-2 kez","hayır, hiç","evet","hayır değişmedi","",""
"2025/07/23 9:46:31 pm GMT+3","45+","35 - İzmir","10 Yıl+","12-24 Ay","Hayır","2024","haziran","Kula","1.5 26","V2 Long Range","10,000 - 20,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","evet","Hayır, Beklemede.","80'e kadar","DC","Hayır, istasyondan","evet, iyiki almışım","Elektrikli olduğu için","8","10","10","10","9","10","5","3","8","10","hayır","1","0","evet","hayır","ayda bir falan","hayır almadım","1 yerden geliyor","hayır, hiç","fark etmedim","nadiren, 1-2 kez","hayır, hiç","nadiren, 1-2 kez","zaman zaman","hayır, hiç","hayır","hayır değişmedi","Güncellemeler yazılım hataları giderilsin",""
"2025/07/23 9:47:37 pm GMT+3","45+","34 - İstanbul","10 Yıl+","2 Yıl +","Hayır","2023","eylül","Anadolu","1.5 26","V2 Long Range","20,000 - 50,000","Evet","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","hayır","Hayır, Beklemede.","80'e kadar","AC","Evet","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Elektrikli olduğu için","9","9","9","5","7","7","1","2","3","5","hayır","3-5","1 Ay","evet","evet","ayda bir falan","zaman zaman","1'den çok yerden geliyor","nadiren, 1-2 kez","evet","zaman zaman","hayır, hiç","zaman zaman","nadiren, 1-2 kez","hayır, hiç","hayır","evet değişti","Şarj iyileştirme güncellemesi esnasında esa hatası ve birçok ikaz ışığı yakması akabinde Trumore veri akışı problemi.","Sağlıcakla kalın."
"2025/07/23 9:48:24 pm GMT+3","36-45","34 - İstanbul","1 Yıldan Az","2 Yıl +","Evet","2023","aralık","Gemlik","1.5 26","V1 Standart","10,000 - 20,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","hayır","Evet","80-90","DC","Hayır, istasyondan","çok sorun çıkardı, keşke almasaydım","Yerli olduğu için","8","7","7","7","5","5","1","1","5","5","hayır","1-3","1 Aydan Az","evet","evet","birkaç ayda bir","hayır almadım","1 yerden geliyor","nadiren, 1-2 kez","fark etmedim","zaman zaman","hayır, hiç","zaman zaman","hayır, hiç","hayır, hiç","evet","hayır değişmedi","",""
"2025/07/23 9:50:12 pm GMT+3","45+","34 - İstanbul","10 Yıl+","12-24 Ay","Hayır","2024","haziran","Oltu","1.5 26","V2 Long Range","10,000 - 20,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","evet","Hayır, Beklemede.","80-90","AC","Hayır, istasyondan","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Finansman Desteği / Makul Fiyat","5","5","3","4","4","4","1","1","1","3","hayır","0","0","hayır","evet","ayda bir falan","zaman zaman","1'den çok yerden geliyor","zaman zaman","fark etmedim","hayır almadım","nadiren, 1-2 kez","nadiren, 1-2 kez","zaman zaman","hayır, hiç","bilmiyorum","hayır değişmedi","",""
"2025/07/23 9:51:51 pm GMT+3","36-45","26 - Eskişehir","10 Yıl+","2 Yıl +","Hayır","2023","temmuz","Anadolu","1.5 26","V2 Long Range","20,000 - 50,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","hayır","Hayır, Beklemede.","80-90","AC","Evet","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Finansman Desteği / Makul Fiyat","4","5","6","4","5","5","2","2","2","2","evet","3-5","1 Aydan Az","hayır","evet","birkaç ayda bir","nadiren, 1-2 kez","1 yerden geliyor","nadiren, 1-2 kez","evet","zaman zaman","nadiren, 1-2 kez","nadiren, 1-2 kez","hayır, hiç","hayır, hiç","evet","hayır değişmedi","Bu biraz benim uzun boylu olmamdan kaynaklanıyor.Ama aracın kör noktası çok fazla.","Servisler ..... Neyse😏"
"2025/07/23 9:57:21 pm GMT+3","36-45","06 - Ankara","1 Yıldan Az","1-6 Ay","Evet","2024","aralık","Kapadokya","1.5 26","V2 Long Range","1,000 - 10,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","hayır","Evet","80-90","AC","Hayır, istasyondan","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Finansman Desteği / Makul Fiyat","8","7","8","7","6","7","3","1","2","4","hayır","0","0","","evet","birkaç ayda bir","hayır almadım","hayır, varsa da fark etmedim","hayır, hiç","evet","nadiren, 1-2 kez","nadiren, 1-2 kez","nadiren, 1-2 kez","nadiren, 1-2 kez","hayır, hiç","hayır","hayır değişmedi","",""
"2025/07/23 9:57:43 pm GMT+3","36-45","35 - İzmir","10 Yıl+","1-6 Ay","Hayır","2025","şubat","Gemlik","1.5 26","V2 Long Range","1,000 - 10,000","Evet","Evet","Hayır","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","hayır","Hayır, Beklemede.","80-90","DC","Hayır, istasyondan","evet, iyiki almışım","Finansman Desteği / Makul Fiyat","10","10","10","6","6","6","4","8","3","7","hayır","1-3","0","evet","evet","ayda bir falan","hayır almadım","1'den çok yerden geliyor","sık sık","fark etmedim","zaman zaman","nadiren, 1-2 kez","nadiren, 1-2 kez","hayır, hiç","hayır, hiç","hayır","hayır değişmedi","Park sensörü plakayı görüyor dediler sabitlediler ama ara ara önünde hiçbir engel yokken bile sensör aktif oluyor her hangi darbe çizik toz kir olmamasına rağmen ",""
"2025/07/23 9:59:11 pm GMT+3","18-25","34 - İstanbul","1-3 Yıl","1-6 Ay","Hayır","2025","haziran","Anadolu","1.6","V2 Long Range","1,000 - 10,000","Evet","Evet","Hayır","evet, kesinlikle elektrikli alırım","evet, alabilirim","hayır","Hayır, Beklemede.","90-100","AC","Evet","evet, iyiki almışım","Elektrikli olduğu için","10","10","10","10","10","8","1","1","5","10","hayır","0","0","","hayır","hiç yapmadım","nadiren, 1-2 kez","hayır, varsa da fark etmedim","nadiren, 1-2 kez","fark etmedim","hayır almadım","hayır, hiç","nadiren, 1-2 kez","hayır, hiç","hayır, hiç","bilmiyorum","hayır değişmedi","",""
"2025/07/23 10:05:07 pm GMT+3","36-45","34 - İstanbul","10 Yıl+","12-24 Ay","Hayır","2023","ağustos","Kapadokya","1.5 24","V2 Long Range","10,000 - 20,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","hayır","Evet","80'e kadar","AC","Hayır, istasyondan","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Finansman Desteği / Makul Fiyat","9","7","7","9","8","7","1","1","2","4","hayır","1","0","hayır","evet","birkaç ayda bir","hayır almadım","1'den çok yerden geliyor","hayır, hiç","fark etmedim","nadiren, 1-2 kez","nadiren, 1-2 kez","nadiren, 1-2 kez","nadiren, 1-2 kez","hayır, hiç","bilmiyorum","hayır değişmedi","",""
"2025/07/23 10:07:15 pm GMT+3","36-45","06 - Ankara","10 Yıl+","12-24 Ay","Hayır","2024","haziran","Kula","1.5 26","V2 Long Range","1,000 - 10,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","hayır","Hayır, Beklemede.","80-90","AC","Evet","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Finansman Desteği / Makul Fiyat","10","10","10","10","9","9","1","5","2","10","hayır","1","0","","hayır","birkaç ayda bir","nadiren, 1-2 kez","1'den çok yerden geliyor","nadiren, 1-2 kez","evet","nadiren, 1-2 kez","hayır, hiç","zaman zaman","nadiren, 1-2 kez","hayır, hiç","hayır","hayır değişmedi","",""
"2025/07/23 10:09:13 pm GMT+3","36-45","55 - Samsun","10 Yıl+","12-24 Ay","Hayır","2024","mayıs","Pamukkale","1.5 26","V2 Long Range","20,000 - 50,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","evet","Hayır, Beklemede.","80'e kadar","AC","Evet","evet, iyiki almışım","Yerli olduğu için","10","10","8","8","7","8","4","6","8","10","hayır","1","0","hayır","evet","birkaç ayda bir","hayır almadım","1 yerden geliyor","hayır, hiç","evet","zaman zaman","hayır, hiç","nadiren, 1-2 kez","zaman zaman","hayır, hiç","evet","hayır değişmedi","",""
"2025/07/23 10:10:58 pm GMT+3","26-35","34 - İstanbul","1 Yıldan Az","6-12 Ay","Evet","2024","kasım","Kapadokya","1.5 26","V2 Long Range","1,000 - 10,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","hayır","Evet","80-90","DC","Hayır, istasyondan","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Finansman Desteği / Makul Fiyat","8","8","9","8","6","6","2","1","3","5","hayır","1","0","hayır","evet","birkaç ayda bir","nadiren, 1-2 kez","1 yerden geliyor","nadiren, 1-2 kez","evet","nadiren, 1-2 kez","nadiren, 1-2 kez","hayır, hiç","nadiren, 1-2 kez","hayır, hiç","evet","hayır değişmedi","",""
"2025/07/23 10:11:50 pm GMT+3","36-45","21 - Diyarbakır","10 Yıl+","12-24 Ay","Hayır","2023","kasım","Kula","1.5 26","V2 Long Range","20,000 - 50,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","evet","Hayır, Beklemede.","80'e kadar","AC","Evet","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Finansman Desteği / Makul Fiyat","10","10","10","10","6","8","8","2","5","9","hayır","3-5","1 Aydan Az","evet","evet","birkaç ayda bir","nadiren, 1-2 kez","1 yerden geliyor","hayır, hiç","evet","zaman zaman","hayır, hiç","zaman zaman","zaman zaman","hayır, hiç","evet","evet değişti","",""
"2025/07/23 10:12:44 pm GMT+3","36-45","31 - Hatay","10 Yıl+","12-24 Ay","Hayır","2024","mayıs","Pamukkale","1.5 26","V2 Long Range","20,000 - 50,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","hayır","Hayır, Beklemede.","80-90","DC","Hayır, istasyondan","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Elektrikli olduğu için","9","9","9","9","8","5","3","3","3","7","hayır","0","0","","evet","birkaç ayda bir","sık sık","1'den çok yerden geliyor","sık sık","evet","zaman zaman","nadiren, 1-2 kez","nadiren, 1-2 kez","zaman zaman","hayır, hiç","hayır","hayır değişmedi","",""
"2025/07/23 10:18:49 pm GMT+3","26-35","34 - İstanbul","3-10 Yıl","6-12 Ay","Hayır","2024","mayıs","Anadolu","1.5 26","V2 Long Range","10,000 - 20,000","Evet","Evet","Evet","evet, kesinlikle elektrikli alırım","evet, alabilirim","evet","Hayır, Beklemede.","80-90","DC","Hayır, istasyondan","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Yerli olduğu için","8","9","10","6","7","7","3","6","5","6","hayır","0","0","","evet","birkaç ayda bir","hayır almadım","1 yerden geliyor","nadiren, 1-2 kez","evet","nadiren, 1-2 kez","nadiren, 1-2 kez","nadiren, 1-2 kez","nadiren, 1-2 kez","hayır, hiç","hayır","hayır değişmedi","","Araçta sıkıntılar olmasına rağmen hiç servise gitmedim. Modül güncellemelerinin OTA'dan gelmesini bekliyorum inat ettim. Güncelleme için servise gitmeyeceğim. Diğer sıkıntılar için bakımı bekliyorum."
"2025/07/23 10:21:32 pm GMT+3","36-45","16 - Bursa","10 Yıl+","12-24 Ay","Hayır","2023","kasım","Gemlik","1.5 26","V2 Long Range","20,000 - 50,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","hayır","Evet","80-90","DC","Hayır, istasyondan","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Finansman Desteği / Makul Fiyat","9","9","9","8","7","7","6","5","5","8","hayır","1","1 Aydan Az","hayır","evet","birkaç ayda bir","hayır almadım","hayır, varsa da fark etmedim","hayır, hiç","hayır, nereden çıktı","hayır almadım","hayır, hiç","zaman zaman","sık sık","hayır, hiç","evet","evet değişti","",""
"2025/07/23 10:21:52 pm GMT+3","36-45","06 - Ankara","10 Yıl+","12-24 Ay","Hayır","2024","ocak","Anadolu","1.5 24","V2 Long Range","20,000 - 50,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","hayır","Evet","80'e kadar","AC","Evet","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Yerli olduğu için","7","8","9","7","1","1","1","1","1","6","hayır","1-3","1 Aydan Az","evet","evet","birkaç ayda bir","nadiren, 1-2 kez","1 yerden geliyor","nadiren, 1-2 kez","evet","zaman zaman","nadiren, 1-2 kez","nadiren, 1-2 kez","nadiren, 1-2 kez","hayır, hiç","evet","hayır değişmedi","",""
"2025/07/23 10:21:54 pm GMT+3","36-45","10 - Balıkesir","10 Yıl+","2 Yıl +","Hayır","2023","temmuz","Gemlik","1.5 24","V2 Long Range","20,000 - 50,000","Evet","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","hayır","Evet","80-90","AC","Evet","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Yerli olduğu için","7","8","8","4","5","5","1","1","1","1","hayır","5+","2 Aydan Fazla","evet","evet","hiç yapmadım","nadiren, 1-2 kez","hayır, varsa da fark etmedim","hayır, hiç","fark etmedim","nadiren, 1-2 kez","nadiren, 1-2 kez","nadiren, 1-2 kez","hayır, hiç","hayır, hiç","evet","evet değişti","",""
"2025/07/23 10:23:10 pm GMT+3","36-45","78 - Karabük","10 Yıl+","12-24 Ay","Hayır","2023","aralık","Gemlik","1.5 26","V2 Long Range","20,000 - 50,000","Hayır","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","hayır","Hayır, Beklemede.","80'e kadar","AC","Evet","arada can sıkıyor ama ufak tefek şeyler, genel olarak memnunum","Yerli olduğu için","8","10","10","10","8","7","1","6","5","3","hayır","3-5","2 Ay","evet","evet","ayda bir falan","nadiren, 1-2 kez","1'den çok yerden geliyor","hayır, hiç","hayır, nereden çıktı","zaman zaman","hayır, hiç","nadiren, 1-2 kez","hayır, hiç","nadiren, 1-2 kez","hayır","evet değişti","",""
"2025/07/23 10:23:20 pm GMT+3","45+","34 - İstanbul","10 Yıl+","12-24 Ay","Hayır","2024","nisan","Kula","1.5 26","V2 Long Range","20,000 - 50,000","Evet","Evet","Evet","evet, kesinlikle elektrikli alırım","bi daha asla almam","hayır","Evet","80'e kadar","AC","Evet","çok sorun çıkardı, keşke almasaydım","Yerli olduğu için","3","7","5","7","1","1","1","1","1","1","evet","3-5","2 Aydan Fazla","evet","evet","haftada bir yaparım en az, nolur nolmaz","zaman zaman","1'den çok yerden geliyor","nadiren, 1-2 kez","evet","sık sık","sık sık","zaman zaman","nadiren, 1-2 kez","zaman zaman","hayır","hayır değişmedi","",""
"2025/07/23 10:24:13 pm GMT+3","18-25","40 - Kırşehir","1-3 Yıl","12-24 Ay","Evet","2023","ağustos","Kapadokya","1.5 26","V2 Long Range","20,000 - 50,000","Evet","Evet","Evet","evet, kesinlikle elektrikli alırım","sorunlar giderilirse, düşünebilirim.","evet","Evet","80'e kadar","DC","Hayır, istasyondan","çok sorun çıkardı, keşke almasaydım","Yerli olduğu için","8","9","10","8","3","1","1","6","2","1","hayır","5+","1 Aydan Az","evet","evet","haftada bir yaparım en az, nolur nolmaz","zaman zaman","1'den çok yerden geliyor","nadiren, 1-2 kez","evet","sık sık","sık sık","zaman zaman","sık sık","nadiren, 1-2 kez","evet","hayır değişmedi","Serviste bataryamın değişmesini talep ettim fakat servis bizim öyle bir uygulamamız yok dedi şarj hızı ses patlaması çok can sıkıyor ","Umarım yetkililer de bu anketleri görür teşekkür ederim anket için "
